1000,0.09899999918416143,20,nan,nan,0.002822848269715905,nan,12.222119695440325,"runs\SAC\chkpts\2026-04-19-20_07_57.pt",20,0,19
2000,0.17099999617785216,37,0.5214101076126099,-3.1253037452697754,0.002822001464664936,3.1317224502563477,12.486050551366088,"runs\SAC\chkpts\2026-04-19-20_09_15.pt",17,0,15
3000,0.6979999898001552,44,0.013886583968997002,-2.85707426071167,0.002547822892665863,2.8632616996765137,12.221269469793402,"runs\SAC\chkpts\2026-04-19-20_10_40.pt",7,1,2
4000,2.6024999770335855,51,0.009914739057421684,-2.6880979537963867,0.0027233243454247713,2.696775436401367,12.18881830585738,"runs\SAC\chkpts\2026-04-19-20_12_03.pt",7,3,2
5000,4.103999969083816,59,0.008943350985646248,-2.7201309204101562,0.0031986876856535673,2.731628894805908,12.106755162121882,"runs\SAC\chkpts\2026-04-19-20_13_28.pt",8,4,2
6000,5.082499966770411,65,0.006831026170402765,-2.647101879119873,0.0035336753353476524,2.656531810760498,12.142976209817027,"runs\SAC\chkpts\2026-04-19-20_14_49.pt",6,5,0
7000,4.055999983102083,81,0.00861322320997715,-2.6762304306030273,0.0030098464339971542,2.6838855743408203,11.85640020990066,"runs\SAC\chkpts\2026-04-19-20_16_25.pt",16,15,1
8000,3.6894999803975224,93,0.01203808095306158,-2.652534008026123,0.0028712376952171326,2.660501480102539,11.744185748438445,"runs\SAC\chkpts\2026-04-19-20_17_56.pt",12,8,2
9000,5.772999987285584,107,0.015463613905012608,-2.731766939163208,0.0030121952295303345,2.7410690784454346,11.622348018272909,"runs\SAC\chkpts\2026-04-19-20_19_29.pt",14,12,1
10000,7.124999993108213,119,0.010691284202039242,-2.8740854263305664,0.0034643267281353474,2.885214328765869,11.581834498600271,"runs\SAC\chkpts\2026-04-19-20_20_58.pt",12,12,0
11000,8.232999989762902,134,0.012775171548128128,-3.1351773738861084,0.0035817143507301807,3.146800994873047,11.475223055207248,"runs\SAC\chkpts\2026-04-19-20_22_33.pt",15,13,0
12000,7.443000003602355,148,0.02756774239242077,-3.158012866973877,0.004054705146700144,3.1689794063568115,11.412022963532424,"runs\SAC\chkpts\2026-04-19-20_24_06.pt",14,13,0
13000,8.25750000020489,161,0.031657345592975616,-3.3617730140686035,0.0046029044315218925,3.375497341156006,11.37040623440786,"runs\SAC\chkpts\2026-04-19-20_25_38.pt",13,12,0
14000,8.765499999281019,175,0.031743939965963364,-3.277348041534424,0.004780331160873175,3.2936220169067383,11.331239981552065,"runs\SAC\chkpts\2026-04-19-20_27_10.pt",14,14,0
