1000,2.616842103533838,19,nan,nan,0.15000000596046448,nan,12.379410035181214,"runs\SAC_enc256_4\chkpts\2026-04-25-21_37_23.pt",19,0,17,-3.0
2000,3.188999996278432,36,nan,nan,0.15000000596046448,nan,12.51573346271408,"runs\SAC_enc256_4\chkpts\2026-04-25-21_38_42.pt",17,0,13,-3.0
3000,3.8904999930597817,48,nan,nan,0.15000000596046448,nan,13.02102406861913,"runs\SAC_enc256_4\chkpts\2026-04-25-21_39_53.pt",12,0,9,-3.0
4000,3.7744999944232367,65,nan,nan,0.15000000596046448,nan,12.927373697484565,"runs\SAC_enc256_4\chkpts\2026-04-25-21_41_12.pt",17,0,13,-3.0
5000,2.5869999991729844,84,nan,nan,0.15000000596046448,nan,12.833936997993787,"runs\SAC_enc256_4\chkpts\2026-04-25-21_42_32.pt",19,0,18,-3.0
6000,3.423499993626028,99,nan,nan,0.15000000596046448,nan,12.889125687071363,"runs\SAC_enc256_4\chkpts\2026-04-25-21_43_48.pt",15,0,11,-3.0
7000,3.696499995049087,112,nan,nan,0.15000000596046448,nan,13.003494778066623,"runs\SAC_enc256_4\chkpts\2026-04-25-21_45_01.pt",13,0,9,-3.0
8000,4.026999993361533,124,nan,nan,0.15000000596046448,nan,13.166347770402906,"runs\SAC_enc256_4\chkpts\2026-04-25-21_46_10.pt",12,0,11,-3.0
9000,3.1104999954625954,142,nan,nan,0.15000000596046448,nan,13.090355171880647,"runs\SAC_enc256_4\chkpts\2026-04-25-21_47_30.pt",18,0,15,-3.0
10000,3.2299999962560806,157,nan,nan,0.15000000596046448,nan,13.109759852676833,"runs\SAC_enc256_4\chkpts\2026-04-25-21_48_45.pt",15,0,12,-3.0
11000,3.4719999947026343,172,nan,nan,0.15000000596046448,nan,13.13595672146542,"runs\SAC_enc256_4\chkpts\2026-04-25-21_50_00.pt",15,0,13,-3.0
12000,3.2349999958649263,190,nan,nan,0.15000000596046448,nan,13.090853539820813,"runs\SAC_enc256_4\chkpts\2026-04-25-21_51_19.pt",18,0,16,-3.0
13000,3.3339999971725014,205,nan,nan,0.15000000596046448,nan,13.105771773317596,"runs\SAC_enc256_4\chkpts\2026-04-25-21_52_34.pt",15,0,12,-3.0
14000,4.280499992053956,218,nan,nan,0.15000000596046448,nan,13.156824493600615,"runs\SAC_enc256_4\chkpts\2026-04-25-21_53_46.pt",13,0,10,-3.0
15000,2.901999997273086,235,0.15270984172821045,-0.553177535533905,0.14999251067638397,0.2671556770801544,13.098332341682465,"runs\SAC_enc256_4\chkpts\2026-04-25-21_55_07.pt",17,0,13,-3.0
16000,3.954499994069335,246,0.05379609391093254,-1.4321894645690918,0.1426738202571869,1.139838457107544,12.666301195570345,"runs\SAC_enc256_4\chkpts\2026-04-25-21_57_05.pt",11,0,2,-3.0
17000,5.1704999894648775,257,0.06809297949075699,-1.9802632331848145,0.1357167512178421,1.70184326171875,12.320363574508326,"runs\SAC_enc256_4\chkpts\2026-04-25-21_59_02.pt",11,0,4,-3.0
18000,5.763499986510722,265,0.05115894973278046,-2.404785633087158,0.12909020483493805,2.1412363052368164,12.067394675385769,"runs\SAC_enc256_4\chkpts\2026-04-25-22_00_54.pt",8,0,1,-3.0
19000,7.429670800082396,273,0.1306431144475937,-2.9978952407836914,0.12278658896684647,2.7471985816955566,11.858010328780699,"runs\SAC_enc256_4\chkpts\2026-04-25-22_02_45.pt",8,1,2,-3.0
20000,8.945170791056025,281,0.1409527212381363,-3.415767192840576,0.1167907640337944,3.17673397064209,11.674541943685876,"runs\SAC_enc256_4\chkpts\2026-04-25-22_04_35.pt",8,0,3,-3.0
21000,6.878999979496011,291,0.11540716141462326,-3.790100336074829,0.111088827252388,3.564021587371826,11.486313034914193,"runs\SAC_enc256_4\chkpts\2026-04-25-22_06_31.pt",10,0,4,-3.0
22000,5.873063061293213,300,0.2230713665485382,-3.981827735900879,0.10567114502191544,3.7676310539245605,11.357917379310232,"runs\SAC_enc256_4\chkpts\2026-04-25-22_08_19.pt",9,2,1,-3.0
23000,6.961563056726012,308,0.14939072728157043,-4.0895466804504395,0.10051460564136505,3.885909080505371,11.2496328340417,"runs\SAC_enc256_4\chkpts\2026-04-25-22_10_07.pt",8,0,2,-3.0
24000,6.93239722546191,319,0.39961928129196167,-4.788975238800049,0.09561239182949066,4.594542503356934,11.10954190321683,"runs\SAC_enc256_4\chkpts\2026-04-25-22_12_03.pt",11,1,4,-3.0
25000,5.917911307141184,329,0.3880853056907654,-4.548248767852783,0.09094966948032379,4.3656768798828125,10.990633551674875,"runs\SAC_enc256_4\chkpts\2026-04-25-22_13_57.pt",10,0,3,-3.0
26000,7.567115240916617,337,0.5256613492965698,-4.958806037902832,0.08651965111494064,4.782707691192627,10.90248152038028,"runs\SAC_enc256_4\chkpts\2026-04-25-22_15_47.pt",8,2,2,-3.0
27000,7.798152911383665,344,0.575238049030304,-5.100362777709961,0.08230315148830414,4.934718132019043,10.818988959136098,"runs\SAC_enc256_4\chkpts\2026-04-25-22_17_38.pt",7,1,0,-3.0
28000,9.777981964927182,352,0.2417154759168625,-5.4946136474609375,0.0783054381608963,5.340717315673828,10.735021391164942,"runs\SAC_enc256_4\chkpts\2026-04-25-22_19_31.pt",8,1,1,-3.0
29000,9.303566520866019,359,0.34347081184387207,-5.377669334411621,0.07450211048126221,5.2302961349487305,10.67923569091738,"runs\SAC_enc256_4\chkpts\2026-04-25-22_21_18.pt",7,3,1,-3.0
30000,10.459427029788513,365,0.4084653854370117,-5.889354705810547,0.07087752223014832,5.752667427062988,10.630537320546006,"runs\SAC_enc256_4\chkpts\2026-04-25-22_23_04.pt",6,1,1,-3.0
31000,10.251460125893368,373,0.8216233253479004,-5.6811442375183105,0.06743983924388885,5.5496063232421875,10.575851381909308,"runs\SAC_enc256_4\chkpts\2026-04-25-22_24_53.pt",8,4,1,-3.0
32000,11.24855246111753,378,0.35604792833328247,-5.919797897338867,0.0641678050160408,5.7947211265563965,10.544892494784637,"runs\SAC_enc256_4\chkpts\2026-04-25-22_26_37.pt",5,3,0,-3.0
